,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
9394,9395,01,Spring,2012,Feb,8,0,3,1,3,0.36,0.3636,0.73,0.1045,15,505,520
7206,7207,01,Winter,2011,Nov,21,0,2,1,1,0.36,0.3788,0.81,0.0,13,114,127
9392,9393,01,Spring,2012,Feb,6,0,3,1,3,0.4,0.4091,0.54,0.1642,0,67,67
7203,7204,01,Winter,2011,Nov,18,0,2,1,1,0.42,0.4242,0.58,0.1045,39,421,460
2078,2079,01,Summer,2011,Apr,11,0,5,1,1,0.32,0.2879,0.61,0.3582,17,72,89
2077,2078,01,Summer,2011,Apr,10,0,5,1,1,0.32,0.303,0.66,0.2836,12,63,75
2076,2077,01,Summer,2011,Apr,9,0,5,1,1,0.32,0.2879,0.7,0.3582,11,162,173
2075,2076,01,Summer,2011,Apr,8,0,5,1,2,0.26,0.2424,0.87,0.2537,8,198,206
2068,2069,01,Summer,2011,Apr,1,0,5,1,3,0.26,0.2576,1.0,0.1642,0,4,4
2074,2075,01,Summer,2011,Apr,7,0,5,1,3,0.24,0.2424,0.93,0.0,4,91,95
2072,2073,01,Summer,2011,Apr,5,0,5,1,3,0.24,0.2273,0.93,0.2239,1,11,12
2071,2072,01,Summer,2011,Apr,4,0,5,1,2,0.24,0.2273,0.93,0.2537,0,3,3
2070,2071,01,Summer,2011,Apr,3,0,5,1,2,0.24,0.2273,0.93,0.2537,0,4,4
2079,2080,01,Summer,2011,Apr,12,0,5,1,1,0.34,0.303,0.53,0.3582,15,80,95
7204,7205,01,Winter,2011,Nov,19,0,2,1,1,0.42,0.4242,0.58,0.0896,39,274,313
7202,7203,01,Winter,2011,Nov,17,0,2,1,1,0.44,0.4394,0.54,0.1642,36,470,506
2080,2081,01,Summer,2011,Apr,13,0,5,1,1,0.36,0.3333,0.5,0.3582,18,92,110
7189,7190,01,Winter,2011,Nov,4,0,2,1,1,0.34,0.3182,0.81,0.2239,1,7,8
2081,2082,01,Summer,2011,Apr,14,0,5,1,2,0.36,0.3333,0.46,0.3582,26,61,87
2082,2083,01,Summer,2011,Apr,15,0,5,1,1,0.34,0.303,0.46,0.4179,30,81,111
2073,2074,01,Summer,2011,Apr,6,0,5,1,3,0.24,0.2273,0.93,0.2239,2,26,28
11,12,01,Spring,2011,Jan,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
10844,10845,01,Summer,2012,Apr,23,0,0,0,3,0.46,0.4545,0.72,0.0,10,53,63
15219,15220,01,Winter,2012,Oct,8,0,1,1,2,0.46,0.4545,0.77,0.1045,40,744,784
15234,15235,01,Winter,2012,Oct,23,0,1,1,3,0.54,0.5152,0.77,0.0,17,88,105
15233,15234,01,Winter,2012,Oct,22,0,1,1,3,0.54,0.5152,0.77,0.0896,17,190,207
15232,15233,01,Winter,2012,Oct,21,0,1,1,2,0.54,0.5152,0.73,0.1343,13,205,218
15231,15232,01,Winter,2012,Oct,20,0,1,1,3,0.54,0.5152,0.68,0.0,11,251,262
15227,15228,01,Winter,2012,Oct,16,0,1,1,2,0.62,0.6212,0.46,0.2537,51,408,459
15229,15230,01,Winter,2012,Oct,18,0,1,1,3,0.56,0.5303,0.64,0.1045,42,571,613
15230,15231,01,Winter,2012,Oct,19,0,1,1,2,0.54,0.5152,0.68,0.1045,33,483,516
10832,10833,01,Summer,2012,Apr,11,0,0,0,2,0.4,0.4091,0.71,0.194,180,271,451
6443,6444,01,Winter,2011,Oct,1,0,6,0,1,0.48,0.4697,0.67,0.3284,11,47,58
10821,10822,01,Summer,2012,Apr,0,0,0,0,2,0.36,0.3333,0.76,0.2537,8,59,67
10834,10835,01,Summer,2012,Apr,13,0,0,0,2,0.44,0.4394,0.62,0.194,190,274,464
710,711,01,Spring,2011,Feb,23,0,2,1,3,0.2,0.197,0.93,0.194,1,15,16
708,709,01,Spring,2011,Feb,21,0,2,1,2,0.22,0.2273,0.87,0.1343,0,64,64
707,708,01,Spring,2011,Feb,20,0,2,1,2,0.22,0.2273,0.87,0.1343,5,69,74
10831,10832,01,Summer,2012,Apr,10,0,0,0,2,0.4,0.4091,0.71,0.1045,132,228,360
10830,10831,01,Summer,2012,Apr,9,0,0,0,2,0.36,0.3485,0.81,0.1343,102,173,275
10829,10830,01,Summer,2012,Apr,8,0,0,0,2,0.36,0.3636,0.76,0.0896,37,88,125
10828,10829,01,Summer,2012,Apr,7,0,0,0,2,0.36,0.3485,0.71,0.1343,29,55,84
10827,10828,01,Summer,2012,Apr,6,0,0,0,2,0.36,0.3485,0.76,0.1343,9,88,97
10826,10827,01,Summer,2012,Apr,5,0,0,0,2,0.34,0.3485,0.81,0.0896,8,10,18
10825,10826,01,Summer,2012,Apr,4,0,0,0,2,0.34,0.3485,0.81,0.0896,3,9,12
10824,10825,01,Summer,2012,Apr,3,0,0,0,2,0.34,0.3333,0.81,0.1343,4,21,25
709,710,01,Spring,2011,Feb,22,0,2,1,2,0.22,0.2576,0.87,0.0896,2,34,36
10842,10843,01,Summer,2012,Apr,21,0,0,0,2,0.5,0.4848,0.59,0.1642,33,101,134
10835,10836,01,Summer,2012,Apr,14,0,0,0,2,0.48,0.4697,0.55,0.2239,283,278,561
10836,10837,01,Summer,2012,Apr,15,0,0,0,1,0.5,0.4848,0.55,0.2537,295,278,573
15224,15225,01,Winter,2012,Oct,13,0,1,1,2,0.6,0.6212,0.43,0.1642,80,225,305
15223,15224,01,Winter,2012,Oct,12,0,1,1,2,0.6,0.6212,0.43,0.1642,61,262,323
15222,15223,01,Winter,2012,Oct,11,0,1,1,1,0.58,0.5455,0.46,0.0,76,196,272
15221,15222,01,Winter,2012,Oct,10,0,1,1,1,0.54,0.5152,0.56,0.0,44,135,179
15220,15221,01,Winter,2012,Oct,9,0,1,1,2,0.52,0.5,0.63,0.0,26,314,340
15216,15217,01,Winter,2012,Oct,5,0,1,1,1,0.44,0.4394,0.77,0.0,2,34,36
15218,15219,01,Winter,2012,Oct,7,0,1,1,1,0.44,0.4394,0.77,0.1642,13,470,483
15226,15227,01,Winter,2012,Oct,15,0,1,1,2,0.62,0.6212,0.43,0.1343,95,234,329
15217,15218,01,Winter,2012,Oct,6,0,1,1,1,0.44,0.4394,0.77,0.1045,8,147,155
15213,15214,01,Winter,2012,Oct,2,0,1,1,1,0.46,0.4545,0.72,0.0,6,6,12
10843,10844,01,Summer,2012,Apr,22,0,0,0,3,0.5,0.4848,0.63,0.1045,7,61,68
15214,15215,01,Winter,2012,Oct,3,0,1,1,1,0.44,0.4394,0.77,0.0,1,6,7
15225,15226,01,Winter,2012,Oct,14,0,1,1,2,0.6,0.6212,0.43,0.1045,51,193,244
10841,10842,01,Summer,2012,Apr,20,0,0,0,2,0.5,0.4848,0.59,0.2239,66,166,232
15228,15229,01,Winter,2012,Oct,17,0,1,1,3,0.56,0.5303,0.6,0.2537,65,791,856
6442,6443,01,Winter,2011,Oct,0,0,6,0,1,0.5,0.4848,0.63,0.3881,24,106,130
15211,15212,01,Winter,2012,Oct,0,0,1,1,1,0.46,0.4545,0.72,0.1045,6,39,45
15212,15213,01,Winter,2012,Oct,1,0,1,1,1,0.44,0.4394,0.77,0.0896,5,13,18
10840,10841,01,Summer,2012,Apr,19,0,0,0,1,0.52,0.5,0.55,0.2239,110,236,346
10839,10840,01,Summer,2012,Apr,18,0,0,0,1,0.52,0.5,0.52,0.2985,153,279,432
10838,10839,01,Summer,2012,Apr,17,0,0,0,1,0.52,0.5,0.55,0.2836,232,323,555
10837,10838,01,Summer,2012,Apr,16,0,0,0,1,0.52,0.5,0.52,0.2537,236,275,511
15215,15216,01,Winter,2012,Oct,4,0,1,1,1,0.42,0.4242,0.82,0.1045,0,10,10
10,11,01,Spring,2011,Jan,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
14491,14492,01,Fall,2012,Sep,0,0,6,0,1,0.74,0.6818,0.62,0.1045,22,146,168
2804,2805,01,Summer,2011,May,18,0,0,0,2,0.46,0.4545,0.82,0.0896,33,126,159
4251,4252,01,Fall,2011,Jul,1,0,5,1,1,0.66,0.6212,0.5,0.0,15,16,31
4252,4253,01,Fall,2011,Jul,2,0,5,1,1,0.62,0.6061,0.69,0.0,6,7,13
4266,4267,01,Fall,2011,Jul,16,0,5,1,1,0.82,0.697,0.17,0.0,85,342,427
4253,4254,01,Fall,2011,Jul,3,0,5,1,1,0.64,0.6212,0.53,0.0,5,6,11
4255,4256,01,Fall,2011,Jul,5,0,5,1,1,0.6,0.6061,0.64,0.1343,3,27,30
4256,4257,01,Fall,2011,Jul,6,0,5,1,1,0.62,0.6061,0.61,0.1343,11,97,108
4257,4258,01,Fall,2011,Jul,7,0,5,1,1,0.66,0.6212,0.54,0.1045,25,218,243
4259,4260,01,Fall,2011,Jul,9,0,5,1,1,0.74,0.6515,0.35,0.1642,58,202,260
4260,4261,01,Fall,2011,Jul,10,0,5,1,1,0.76,0.6667,0.33,0.1642,61,109,170
4261,4262,01,Fall,2011,Jul,11,0,5,1,1,0.8,0.697,0.26,0.0,68,146,214
4250,4251,01,Fall,2011,Jul,0,0,5,1,1,0.66,0.6212,0.5,0.0,20,48,68
4262,4263,01,Fall,2011,Jul,12,0,5,1,1,0.8,0.697,0.26,0.0,83,180,263
4264,4265,01,Fall,2011,Jul,14,0,5,1,1,0.82,0.697,0.23,0.194,78,225,303
4254,4255,01,Fall,2011,Jul,4,0,5,1,1,0.62,0.6212,0.57,0.0,1,5,6
4258,4259,01,Fall,2011,Jul,8,0,5,1,1,0.7,0.6364,0.42,0.1642,39,453,492
13770,13771,01,Fall,2012,Aug,23,0,3,1,1,0.7,0.6667,0.74,0.0,18,134,152
13769,13770,01,Fall,2012,Aug,22,0,3,1,1,0.72,0.6818,0.7,0.1045,37,251,288
13768,13769,01,Fall,2012,Aug,21,0,3,1,1,0.72,0.6818,0.7,0.1343,36,284,320
13767,13768,01,Fall,2012,Aug,20,0,3,1,1,0.74,0.697,0.66,0.1642,65,448,513
13766,13767,01,Fall,2012,Aug,19,0,3,1,1,0.74,0.697,0.66,0.2537,88,564,652
13752,13753,01,Fall,2012,Aug,5,0,3,1,2,0.64,0.5909,0.78,0.1343,3,46,49
13765,13766,01,Fall,2012,Aug,18,0,3,1,3,0.76,0.7121,0.62,0.2239,105,786,891
4263,4264,01,Fall,2011,Jul,13,0,5,1,1,0.8,0.6818,0.24,0.0,83,209,292
13763,13764,01,Fall,2012,Aug,16,0,3,1,1,0.8,0.7576,0.55,0.2836,93,386,479
4265,4266,01,Fall,2011,Jul,15,0,5,1,1,0.82,0.697,0.21,0.2537,82,299,381
3542,3543,01,Summer,2011,Jun,12,0,3,1,1,0.86,0.8333,0.53,0.0,32,137,169
8664,8665,01,Spring,2012,Jan,19,0,0,0,3,0.42,0.4242,0.67,0.3881,20,85,105
3549,3550,01,Summer,2011,Jun,19,0,3,1,2,0.74,0.7121,0.79,0.1642,16,248,264
3548,3549,01,Summer,2011,Jun,18,0,3,1,3,0.82,0.7879,0.56,0.3881,31,278,309
5011,5012,01,Fall,2011,Aug,17,0,1,1,1,0.76,0.6818,0.45,0.2985,69,445,514
5012,5013,01,Fall,2011,Aug,18,0,1,1,1,0.78,0.697,0.43,0.194,68,475,543
5013,5014,01,Fall,2011,Aug,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413
5014,5015,01,Fall,2011,Aug,20,0,1,1,1,0.72,0.6818,0.62,0.2239,49,256,305
5004,5005,01,Fall,2011,Aug,10,0,1,1,1,0.86,0.7576,0.36,0.1642,27,70,97
3547,3548,01,Summer,2011,Jun,17,0,3,1,1,0.86,0.803,0.47,0.2985,52,434,486
3546,3547,01,Summer,2011,Jun,16,0,3,1,1,0.86,0.803,0.47,0.2985,39,227,266
4267,4268,01,Fall,2011,Jul,17,0,5,1,1,0.82,0.697,0.21,0.194,99,362,461
3535,3536,01,Summer,2011,Jun,5,0,3,1,2,0.66,0.5909,0.89,0.0896,2,19,21
3537,3538,01,Summer,2011,Jun,7,0,3,1,2,0.7,0.6667,0.79,0.1642,19,265,284
8666,8667,01,Spring,2012,Jan,21,0,0,0,2,0.44,0.4394,0.67,0.2537,10,61,71
8665,8666,01,Spring,2012,Jan,20,0,0,0,2,0.44,0.4394,0.62,0.2985,25,58,83
3545,3546,01,Summer,2011,Jun,15,0,3,1,1,0.9,0.8333,0.39,0.2985,25,127,152
3543,3544,01,Summer,2011,Jun,13,0,3,1,1,0.9,0.8182,0.37,0.194,29,125,154
3544,3545,01,Summer,2011,Jun,14,0,3,1,1,0.9,0.8182,0.37,0.2537,40,105,145
3538,3539,01,Summer,2011,Jun,8,0,3,1,2,0.72,0.697,0.79,0.194,37,417,454
3539,3540,01,Summer,2011,Jun,9,0,3,1,2,0.74,0.7121,0.74,0.2239,34,173,207
3540,3541,01,Summer,2011,Jun,10,0,3,1,2,0.76,0.7424,0.75,0.2537,31,84,115
3541,3542,01,Summer,2011,Jun,11,0,3,1,2,0.82,0.803,0.59,0.2239,26,86,112
3536,3537,01,Summer,2011,Jun,6,0,3,1,2,0.68,0.6364,0.89,0.0896,7,121,128
5010,5011,01,Fall,2011,Aug,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231
13762,13763,01,Fall,2012,Aug,15,0,3,1,1,0.82,0.7576,0.46,0.1642,89,206,295
13760,13761,01,Fall,2012,Aug,13,0,3,1,1,0.8,0.7424,0.52,0.1642,59,221,280
13005,13006,01,Fall,2012,Jul,2,0,0,0,1,0.72,0.697,0.74,0.0896,21,69,90
13006,13007,01,Fall,2012,Jul,3,0,0,0,1,0.72,0.7121,0.84,0.1343,6,27,33
13007,13008,01,Fall,2012,Jul,4,0,0,0,1,0.7,0.6667,0.79,0.194,0,4,4
13008,13009,01,Fall,2012,Jul,5,0,0,0,1,0.68,0.6364,0.79,0.1045,3,7,10
13009,13010,01,Fall,2012,Jul,6,0,0,0,1,0.7,0.6667,0.79,0.0896,8,19,27
13010,13011,01,Fall,2012,Jul,7,0,0,0,1,0.74,0.697,0.7,0.0,13,37,50
